A.S. 91040 v2,4.00 cr ,Social Studies 1.2 - Conduct a social inquiry,Social Science Studies,,10SST,Social Studies,Social Science
A.S. 91594 v1,4.00 cr ,Dance 3.7 - Analyse a dance performance,Dance,External,DNC8,Dance,Arts
A.S. 91595 v1,4.00 cr ,Dance 3.8 - Demonstrate understanding of the development of dance in Aotearoa/New Zealand,Dance,External,DNC8,Dance,Arts
A.S. 90006 v5,4.00 cr ,Drama 1.1 - Apply drama techniques in a dramatic context,Drama,,DRA6,Drama,Arts
A.S. 90009 v5,5.00 cr ,Drama 1.6 - Perform an acting role in a scripted production,Drama,,DRA6,Drama,Arts
A.S. 90011 v5,4.00 cr ,Drama 1.7 - Demonstrate understanding of the use of drama aspects within live performance,Drama,External,DRA6,Drama,Arts
A.S. 90997 v1,5.00 cr ,Drama 1.2 - Devise and perform a drama,Drama,,DRA6,Drama,Arts
A.S. 90998 v1,4.00 cr ,Drama 1.3 - Demonstrate understanding of features of a drama/theatre form,Drama,External,DRA6,Drama,Arts
A.S. 90999 v2,4.00 cr ,Drama 1.4 - Use features of a drama/theatre form in a performance,Drama,,DRA6,Drama,Arts
A.S. 91000 v2,4.00 cr ,Drama 1.5 - Demonstrate understanding of a significant play,Drama,,DRA6,Drama,Arts
A.S. 91213 v1,4.00 cr ,Drama 2.1 - Apply drama techniques in a scripted context,Drama,,DRA7,Drama,Arts
A.S. 91214 v1,5.00 cr ,Drama 2.2 - Devise and perform a drama to realise an intention,Drama,,DRA7,Drama,Arts
A.S. 91215 v1,4.00 cr ,Drama 2.3 - Discuss a drama or theatre form or period with reference to a text,Drama,External,DRA7,Drama,Arts
A.S. 91216 v2,4.00 cr ,Drama 2.4 - Use complex performance skills associated with a drama or theatre form or period,Drama,,DRA7,Drama,Arts
A.S. 91218 v1,5.00 cr ,Drama 2.6 - Perform a substantial acting role in a scripted production,Drama,,DRA7,Drama,Arts
A.S. 91219 v1,4.00 cr ,"Drama 2.7 - Discuss drama elements, techniques, conventions and technologies within live performance",Drama,External,DRA7,Drama,Arts
A.S. 91512 v1,4.00 cr ,Drama 3.1 - Interpret scripted text to integrate drama techniques in performance,Drama,,DRA8,Drama,Arts
A.S. 91513 v1,5.00 cr ,Drama 3.2 - Devise and perform a drama to realise a concept,Drama,,DRA8,Drama,Arts
A.S. 91514 v2,4.00 cr ,Drama 3.3 - Interpret a text from a prescribed playwright to demonstrate knowledge of a theatre form or period,Drama,External,DRA8,Drama,Arts
A.S. 91517 v1,5.00 cr ,Drama 3.6 - Perform a substantial acting role in a significant production,Drama,,DRA8,Drama,Arts
A.S. 91518 v1,4.00 cr ,Drama 3.7 - Demonstrate understanding of live drama performance,Drama,External,DRA8,Drama,Arts
U.S. 18743 v4,2.00 cr ,Produce a spreadsheet from instructions using supplied data,Computing,,DTE5,Digital Technology,DigiTech
U.S. 25659 v2,2.00 cr ,Create a web page using a mark-up language with a text editor,Computing,,DTE5,Digital Technology,DigiTech
A.S. 91045 v2,4.00 cr ,Generic Technology 1.2 - Use planning tools to guide the technological development of an outcome to address a brief,Technology,,DTE6,Digital Technology,DigiTech
A.S. 91070 v2,3.00 cr ,Digital Technologies 1.40 - Demonstrate understanding of basic concepts of information management,Technology,External,DTE6,Digital Technology,DigiTech
A.S. 91071 v2,4.00 cr ,Digital Technologies 1.41 - Implement basic procedures to produce a specified digital information outcome,Technology,,DTE6,Digital Technology,DigiTech
A.S. 91073 v2,4.00 cr ,Digital Technologies 1.43 - Implement basic procedures to produce a specified digital media outcome,Technology,,DTE6,Digital Technology,DigiTech
A.S. 91076 v3,3.00 cr ,Digital Technologies 1.46 - Construct a basic computer program for a specified task,Technology,,DTE6,Digital Technology,DigiTech
U.S. 102 v6,3.00 cr ,Consolidate keyboarding skills and produce accurate text based documents,Business Administration,,DTE6,Digital Technology,DigiTech
U.S. 18734 v5,2.00 cr ,Create a web page using a template,Computing,,DTE6,Digital Technology,DigiTech
U.S. 18743 v4,2.00 cr ,Produce a spreadsheet from instructions using supplied data,Computing,,DTE6,Digital Technology,DigiTech
U.S. 25659 v2,2.00 cr ,Create a web page using a mark-up language with a text editor,Computing,,DTE6,Digital Technology,DigiTech
U.S. 2792 v7,2.00 cr ,Produce simple desktop published documents using templates,Computing,,DTE6,Digital Technology,DigiTech
A.S. 91368 v2,6.00 cr ,Digital Technologies 2.41 - Implement advanced procedures to produce a specified digital information outcome with dynamically linked data,Technology,,DTE7,Digital Technology,DigiTech
A.S. 91370 v1,4.00 cr ,Digital Technologies 2.43 - Implement advanced procedures to produce a specified digital media outcome,Technology,,DTE7,Digital Technology,DigiTech
A.S. 91371 v2,4.00 cr ,Digital Technologies 2.44 - Demonstrate understanding of advanced concepts from computer science,Technology,External,DTE7,Digital Technology,DigiTech
A.S. 91373 v2,3.00 cr ,Digital Technologies 2.46 - Construct an advanced computer program for a specified task,Technology,,DTE7,Digital Technology,DigiTech
U.S. 2784 v7,3.00 cr ,Create and use a computer spreadsheet to solve a problem,Computing,,DTE7,Digital Technology,DigiTech
U.S. 2785 v7,5.00 cr ,Create a computer spreadsheet to provide a solution for organisation use,Computing,,DTE7,Digital Technology,DigiTech
U.S. 2786 v7,3.00 cr ,Create and use a computer database to solve a problem,Computing,,DTE7,Digital Technology,DigiTech
U.S. 2788 v8,5.00 cr ,Produce desktop published documents to meet a set brief,Computing,,DTE7,Digital Technology,DigiTech
U.S. 108 v6,5.00 cr ,Apply text processing skills to produce business documents,Business Administration,,DTE8,Digital Technology,DigiTech
U.S. 112 v6,5.00 cr ,Produce business or organisational information using word processing functions,Business Administration,,DTE8,Digital Technology,DigiTech
U.S. 12886 v6,6.00 cr ,Customise software features and create document templates for generic text and information management,Business Administration,,DTE8,Digital Technology,DigiTech
U.S. 12887 v6,6.00 cr ,Integrate text and images and manage multiple files for generic text and information management,Business Administration,,DTE8,Digital Technology,DigiTech
U.S. 2785 v7,5.00 cr ,Create a computer spreadsheet to provide a solution for organisation use,Computing,,DTE8,Digital Technology,DigiTech
U.S. 2787 v6,6.00 cr ,Create and use a computer database to provide a solution for organisation use,Computing,,DTE8,Digital Technology,DigiTech
U.S. 2789 v6,6.00 cr ,Produce desktop published documents for organisation use,Computing,,DTE8,Digital Technology,DigiTech
A.S. 91102 v1,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,ECE6,Cambridge English,English
A.S. 91476 v1,3.00 cr ,"English 3.5 - Create and deliver a fluent and coherent oral text which develops, sustains, and structures ideas",English,,ECE6,Cambridge English,English
A.S. 90983 v2,4.00 cr ,"Economics 1.1 - Demonstrate understanding of consumer choices, using scarcity and/or demand",Economic Theory and Practice,External,ECO6,Economics,Social Science
A.S. 90984 v2,5.00 cr ,Economics 1.2 - Demonstrate understanding of decisions a producer makes about production,Economic Theory and Practice,,ECO6,Economics,Social Science
A.S. 90985 v2,3.00 cr ,Economics 1.3 - Demonstrate understanding of producer choices using supply,Economic Theory and Practice,External,ECO6,Economics,Social Science
A.S. 90986 v2,5.00 cr ,"Economics 1.4 - Demonstrate understanding of how consumer, producer and/or government choices affect society, using market equilibrium",Economic Theory and Practice,External,ECO6,Economics,Social Science
A.S. 90987 v2,4.00 cr ,Economics 1.5 - Demonstrate understanding of a government choice where affected groups have different viewpoints,Economic Theory and Practice,,ECO6,Economics,Social Science
A.S. 90988 v2,3.00 cr ,Economics 1.6 - Demonstrate understanding of the interdependence of sectors of the New Zealand economy,Economic Theory and Practice,,ECO6,Economics,Social Science
A.S. 91222 v1,4.00 cr ,Economics 2.1 - Analyse inflation using economic concepts and models,Economic Theory and Practice,External,ECO7,Economics,Social Science
A.S. 91223 v1,4.00 cr ,Economics 2.2 - Analyse international trade using economic concepts and models,Economic Theory and Practice,External,ECO7,Economics,Social Science
A.S. 91224 v1,4.00 cr ,Economics 2.3 - Analyse economic growth using economic concepts and models,Economic Theory and Practice,External,ECO7,Economics,Social Science
A.S. 91225 v1,4.00 cr ,Economics 2.4 - Analyse unemployment using economic concepts and models,Economic Theory and Practice,,ECO7,Economics,Social Science
A.S. 91226 v1,4.00 cr ,Economics 2.5 - Analyse statistical data relating to two contemporary economic issues,Economic Theory and Practice,,ECO7,Economics,Social Science
A.S. 91227 v1,6.00 cr ,Economics 2.6 - Analyse how government policies and contemporary economic issues interact,Economic Theory and Practice,,ECO7,Economics,Social Science
A.S. 91399 v1,4.00 cr ,Economics 3.1 - Demonstrate understanding of the efficiency of market equilibrium,Economic Theory and Practice,External,ECO8,Economics,Social Science
A.S. 91400 v1,4.00 cr ,Economics 3.2 - Demonstrate understanding of the efficiency of different market structures using marginal analysis,Economic Theory and Practice,External,ECO8,Economics,Social Science
A.S. 91401 v1,5.00 cr ,Economics 3.3 - Demonstrate understanding of micro-economic concepts,Economic Theory and Practice,,ECO8,Economics,Social Science
A.S. 91402 v1,5.00 cr ,Economics 3.4 - Demonstrate understanding of government interventions to correct market failures,Economic Theory and Practice,,ECO8,Economics,Social Science
A.S. 91403 v1,6.00 cr ,Economics 3.5 - Demonstrate understanding of macro-economic influences on the New Zealand economy,Economic Theory and Practice,External,ECO8,Economics,Social Science
A.S. 91057 v2,6.00 cr ,Construction and Mechanical Technologies 1.20 - Implement basic procedures using resistant materials to make a specified product,Technology,,EGP6,Engineering Practice,Technology
U.S. 22923 v2,12.00 cr ,Demonstrate basic engineering workshop skills under close supervision,Mechanical Engineering,,EGP6,Engineering Practice,Technology
U.S. 22924 v2,10.00 cr ,Develop a simple product using engineering materials,Mechanical Engineering,,EGP6,Engineering Practice,Technology
U.S. 22926 v2,2.00 cr ,Demonstrate knowledge of safety procedures in a specific engineering workshop,Mechanical Engineering,,EGP6,Engineering Practice,Technology
U.S. 4433 v6,2.00 cr ,"Select, use, and care for simple measuring devices used in engineering",Mechanical Engineering,,EGP6,Engineering Practice,Technology
A.S. 91344 v2,6.00 cr ,Construction and Mechanical Technologies 2.20 - Implement advanced procedures using resistant materials to make a specified product with special features,Technology,,EGP7,Engineering Practice,Technology
U.S. 2395 v8,4.00 cr ,"Select, use, and care for, engineering hand tools",Mechanical Engineering,,EGP7,Engineering Practice,Technology
U.S. 2430 v7,4.00 cr ,Manually produce and interpret engineering sketches under supervision,Mechanical Engineering,,EGP7,Engineering Practice,Technology
U.S. 4435 v7,3.00 cr ,"Select, use, and care for engineering dimensional measuring equipment",Mechanical Engineering,,EGP7,Engineering Practice,Technology
U.S. 4436 v6,4.00 cr ,"Select, use, and care for engineering marking-out equipment",Mechanical Engineering,,EGP7,Engineering Practice,Technology
U.S. 18240 v5,5.00 cr ,Demonstrate knowledge of basic electronic components,Electronic Engineering,,ELT6,Electronics,Science
U.S. 18242 v5,3.00 cr ,Construct a simple printed circuit,Electronic Engineering,,ELT6,Electronics,Science
U.S. 18243 v5,6.00 cr ,Construct simple electronic products from supplied circuit schematics,Electronic Engineering,,ELT6,Electronics,Science
U.S. 18239 v5,5.00 cr ,Demonstrate introductory knowledge of circuit concepts and measurements for electronics,Electronic Engineering,,ELT7,National Certificate in Electronics,Science
U.S. 18241 v5,5.00 cr ,Demonstrate knowledge of basic electronic systems,Electronic Engineering,,ELT7,National Certificate in Electronics,Science
U.S. 19745 v4,5.00 cr ,Demonstrate and apply elementary knowledge of wireless transmission,Electronic Engineering,,ELT7,National Certificate in Electronics,Science
U.S. 9221 v7,3.00 cr ,Demonstrate knowledge of the development of an electronic product,Electronic Engineering,,ELT7,National Certificate in Electronics,Science
U.S. 19745 v4,5.00 cr ,Demonstrate and apply elementary knowledge of wireless transmission,Electronic Engineering,,ELT8,National Certificate in Electronics,Science
U.S. 19747 v4,5.00 cr ,Demonstrate and apply fundamental knowledge of microcontrollers,Electronic Engineering,,ELT8,National Certificate in Electronics,Science
U.S. 26119 v3,4.00 cr ,"Construct, and report on the performance of, a simple electronic programmable circuit",Electronic Engineering,,ELT8,National Certificate in Electronics,Science
U.S. 9221 v7,3.00 cr ,Demonstrate knowledge of the development of an electronic product,Electronic Engineering,,ELT8,National Certificate in Electronics,Science
A.S. 90053 v4,3.00 cr ,English 1.5 - Produce formal writing,English,,ENC6,English,English
A.S. 90849 v2,4.00 cr ,"English 1.1 - Show understanding of specified aspect(s) of studied written text(s), using supporting evidence",English,External,ENC6,English,English
A.S. 90850 v2,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,ENC6,English,English
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,ENC6,English,English
A.S. 90853 v1,4.00 cr ,English 1.9 - Use information literacy skills to form conclusion(s),English,,ENC6,English,English
A.S. 90856 v1,3.00 cr ,"English 1.11 - Show understanding of visual and/or oral text(s) through close viewing and/or listening, using supporting evidence",English,,ENC6,English,English
A.S. 90857 v1,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,ENC6,English,English
A.S. 90989 v1,3.00 cr ,Media Studies 1.1 - Demonstrate understanding of how individuals interact with the media,Social Science Studies,,ENC6,English,English
A.S. 90990 v1,3.00 cr ,Media Studies 1.2 - Demonstrate understanding of selected elements of media text(s),Social Science Studies,,ENC6,English,English
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENC6,English,English
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENC6,English,English
A.S. 91098 v2,4.00 cr ,"English 2.1 - Analyse specified aspect(s) of studied written text(s), supported by evidence",English,External,ENC7,English,English
A.S. 91099 v2,4.00 cr ,"English 2.2 - Analyse specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,ENC7,English,English
A.S. 91101 v1,6.00 cr ,English 2.4 - Produce a selection of crafted and controlled writing,English,,ENC7,English,English
A.S. 91104 v1,4.00 cr ,"English 2.7 - Analyse significant connections across texts, supported by evidence",English,,ENC7,English,English
A.S. 91105 v1,4.00 cr ,English 2.8 - Use information literacy skills to form developed conclusion(s),English,,ENC7,English,English
A.S. 91106 v1,4.00 cr ,"English 2.9 - Form developed personal responses to independently read texts, supported by evidence",English,,ENC7,English,English
A.S. 91107 v1,3.00 cr ,"English 2.10 - Analyse aspects of visual and/or oral text(s) through close viewing and/or listening, supported by evidence",English,,ENC7,English,English
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG3,English,English
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG3,English,English
A.S. 90855 v1,3.00 cr ,English 1.7 - Create a visual text,English,,ENG4,English,English
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG4,English,English
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG4,English,English
A.S. 90855 v1,3.00 cr ,English 1.7 - Create a visual text,English,,ENG5,English,English
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG5,English,English
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG5,English,English
A.S. 90052 v4,3.00 cr ,English 1.4 - Produce creative writing,English,,ENG6,English,English
A.S. 90849 v2,4.00 cr ,"English 1.1 - Show understanding of specified aspect(s) of studied written text(s), using supporting evidence",English,External,ENG6,English,English
A.S. 90850 v2,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,ENG6,English,English
A.S. 90851 v1,4.00 cr ,"English 1.3 - Show understanding of significant aspects of unfamiliar written text(s) through close reading, using supporting evidence",English,External,ENG6,English,English
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,ENG6,English,English
A.S. 90853 v1,4.00 cr ,English 1.9 - Use information literacy skills to form conclusion(s),English,,ENG6,English,English
A.S. 90854 v1,4.00 cr ,"English 1.10 - Form personal responses to independently read texts, supported by evidence",English,,ENG6,English,English
A.S. 90857 v1,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,ENG6,English,English
A.S. 90849 v2,4.00 cr ,"English 1.1 - Show understanding of specified aspect(s) of studied written text(s), using supporting evidence",English,External,ENG6J,English,English
A.S. 90850 v2,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,ENG6J,English,English
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,ENG6J,English,English
A.S. 90854 v1,4.00 cr ,"English 1.10 - Form personal responses to independently read texts, supported by evidence",English,,ENG6J,English,English
A.S. 90856 v1,3.00 cr ,"English 1.11 - Show understanding of visual and/or oral text(s) through close viewing and/or listening, using supporting evidence",English,,ENG6J,English,English
A.S. 90990 v1,3.00 cr ,Media Studies 1.2 - Demonstrate understanding of selected elements of media text(s),Social Science Studies,,ENG6J,English,English
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG6J,English,English
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG6J,English,English
A.S. 91098 v2,4.00 cr ,"English 2.1 - Analyse specified aspect(s) of studied written text(s), supported by evidence",English,External,ENG7,English,English
A.S. 91099 v2,4.00 cr ,"English 2.2 - Analyse specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,ENG7,English,English
A.S. 91100 v1,4.00 cr ,"English 2.3 - Analyse significant aspects of unfamiliar written text(s) through close reading, supported by evidence",English,External,ENG7,English,English
A.S. 91101 v1,6.00 cr ,English 2.4 - Produce a selection of crafted and controlled writing,English,,ENG7,English,English
A.S. 91102 v1,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,ENG7,English,English
A.S. 91106 v1,4.00 cr ,"English 2.9 - Form developed personal responses to independently read texts, supported by evidence",English,,ENG7,English,English
A.S. 91473 v1,4.00 cr ,"English 3.2 - Respond critically to specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,ENG8,English,English
A.S. 91474 v1,4.00 cr ,"English 3.3 - Respond critically to significant aspects of unfamiliar written texts through close reading, supported by evidence",English,External,ENG8,English,English
A.S. 91475 v1,6.00 cr ,"English 3.4 - Produce a selection of fluent and coherent writing which develops, sustains, and structures ideas",English,,ENG8,English,English
A.S. 91476 v1,3.00 cr ,"English 3.5 - Create and deliver a fluent and coherent oral text which develops, sustains, and structures ideas",English,,ENG8,English,English
A.S. 91478 v1,4.00 cr ,"English 3.7 - Respond critically to significant connections across texts, supported by evidence",English,,ENG8,English,English
A.S. 91480 v1,3.00 cr ,"English 3.9 - Respond critically to significant aspects of visual and/or oral text(s) through close reading, supported by evidence",English,,ENG8,English,English
A.S. 91472 v1,4.00 cr ,"English 3.1 - Respond critically to specified aspect(s) of studied written text(s), supported by evidence",English,External,ENX8,English,English
A.S. 91473 v1,4.00 cr ,"English 3.2 - Respond critically to specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,ENX8,English,English
A.S. 91474 v1,4.00 cr ,"English 3.3 - Respond critically to significant aspects of unfamiliar written texts through close reading, supported by evidence",English,External,ENX8,English,English
A.S. 91475 v1,6.00 cr ,"English 3.4 - Produce a selection of fluent and coherent writing which develops, sustains, and structures ideas",English,,ENX8,English,English
A.S. 91476 v1,3.00 cr ,"English 3.5 - Create and deliver a fluent and coherent oral text which develops, sustains, and structures ideas",English,,ENX8,English,English
A.S. 91479 v1,4.00 cr ,English 3.8 - Develop an informed understanding of literature and/or language using critical texts,English,,ENX8,English,English
A.S. 91187 v1,4.00 cr ,Earth and Space Science 2.1 - Carry out a practical Earth and Space Science investigation,Science,,ESS7,Earth and Space Science,Science
A.S. 91188 v1,4.00 cr ,Earth and Space Science 2.2 - Examine an Earth and Space Science issue and the validity of the information communicated to the public,Science,,ESS7,Earth and Space Science,Science
A.S. 91189 v1,4.00 cr ,Earth and Space Science 2.3 - Investigate geological processes in a New Zealand locality,Science,,ESS7,Earth and Space Science,Science
A.S. 91190 v1,4.00 cr ,Earth and Space Science 2.4 - Investigate how organisms survive in an extreme environment,Science,,ESS7,Earth and Space Science,Science
A.S. 91191 v1,4.00 cr ,Earth and Space Science 2.5 - Demonstrate understanding of the causes of extreme Earth events in New Zealand,Science,External,ESS7,Earth and Space Science,Science
A.S. 91192 v1,4.00 cr ,Earth and Space Science 2.6 - Demonstrate understanding of stars and planetary systems,Science,External,ESS7,Earth and Space Science,Science
A.S. 91193 v1,4.00 cr ,Earth and Space Science 2.7 - Demonstrate understanding of physical principles related to the Earth System,Science,External,ESS7,Earth and Space Science,Science
A.S. 91410 v1,4.00 cr ,Earth and Space Science 3.1 - Carry out an independent practical Earth and Space Science investigation,Science,,ESS8,Earth and Space Science,Science
A.S. 91411 v1,4.00 cr ,Earth and Space Science 3.2 - Investigate a socio-scientific issue in an Earth and Space Science context,Science,,ESS8,Earth and Space Science,Science
A.S. 91412 v1,4.00 cr ,Earth and Space Science 3.3 - Investigate the evidence related to dating geological event(s),Science,,ESS8,Earth and Space Science,Science
A.S. 91413 v1,4.00 cr ,Earth and Space Science 3.4 - Demonstrate understanding of processes in the ocean system,Science,External,ESS8,Earth and Space Science,Science
A.S. 91414 v1,4.00 cr ,Earth and Space Science 3.5 - Demonstrate understanding of processes in the atmosphere system,Science,External,ESS8,Earth and Space Science,Science
A.S. 91415 v1,4.00 cr ,Earth and Space Science 3.6 - Investigate an aspect of astronomy,Science,,ESS8,Earth and Space Science,Science
A.S. 91047 v1,6.00 cr ,Generic Technology 1.4 - Undertake development to make a prototype to address a brief,Technology,,FDT6,Fabric Design Technology,Technology
A.S. 91058 v1,6.00 cr ,Construction and Mechanical Technologies 1.21 - Implement basic procedures using textile materials to make a specified product,Technology,,FDT6,Fabric Design Technology,Technology
A.S. 91067 v2,3.00 cr ,Design and Visual Communication 1.34 - Use the work of an influential designer to inform design ideas,Technology,,FDT6,Fabric Design Technology,Technology
A.S. 91096 v2,4.00 cr ,Construction and Mechanical Technologies 1.26 - Make basic adaptations to a pattern to enable a design to fit a person or item,Technology,,FDT6,Fabric Design Technology,Technology
A.S. 91340 v1,3.00 cr ,Design and Visual Communication 2.33 - Use the characteristics of a design movement or era to inform own design ideas,Technology,,FDT7,Fabric Design Technology,Technology
A.S. 91345 v1,6.00 cr ,Construction and Mechanical Technologies 2.21 - Implement advanced procedures using textile materials to make a specified product with special features,Technology,,FDT7,Fabric Design Technology,Technology
A.S. 91357 v1,6.00 cr ,Generic Technology 2.4 - Undertake effective development to make and trial a prototype,Technology,,FDT7,Fabric Design Technology,Technology
A.S. 91611 v1,6.00 cr ,Generic Technology 3.4 - Develop a prototype considering fitness for purpose in the broadest sense,Technology,,FDT8,Fabric Design Technology,Technology
A.S. 91621 v1,6.00 cr ,Construction and Mechanical Technologies 3.21 - Implement complex procedures using textile materials to make a specified product,Technology,,FDT8,Fabric Design Technology,Technology
A.S. 91623 v2,4.00 cr ,Construction and Mechanical Technologies 3.23 - Implement complex procedures to create an applied design for a specified product,Technology,,FDT8,Fabric Design Technology,Technology
U.S. 6700 v4,6.00 cr ,Prepare for and construct a textile item for specified purpose,Home and Life Sciences,,FDT8,Fabric Design Technology,Technology
U.S. 6701 v4,6.00 cr ,Prepare for and construct a garment using special fabric,Home and Life Sciences,,FDT8,Fabric Design Technology,Technology
A.S. 90958 v2,5.00 cr ,Home Economics 1.3 - Demonstrate understanding of how cultural practices influence eating patterns in New Zealand,Health and Physical Education,,FTE5,Food Technology,Technology
U.S. 19770 v3,2.00 cr ,Prepare and present egg and cheese dishes in the hospitality industry,Hospitality,,FTE5,Food Technology,Technology
U.S. 26625 v3,3.00 cr ,Actively participate in spoken interactions,Core Generic,,FTE5,Food Technology,Technology
A.S. 90956 v2,5.00 cr ,Home Economics 1.1 - Demonstrate knowledge of an individual's nutritional needs,Health and Physical Education,,FTE6,Food Technology,Technology
A.S. 90957 v2,5.00 cr ,Home Economics 1.2 - Demonstrate understanding of societal influences on an individual's food choices and well-being,Health and Physical Education,,FTE6,Food Technology,Technology
A.S. 90959 v1,5.00 cr ,Home Economics 1.4 - Demonstrate knowledge of practices and strategies to address food handling issues,Health and Physical Education,,FTE6,Food Technology,Technology
A.S. 90961 v2,4.00 cr ,Home Economics 1.6 - Demonstrate understanding of how packaging information influences an individual's food choices and well-being,Health and Physical Education,External,FTE6,Food Technology,Technology
A.S. 91299 v1,5.00 cr ,Home Economics 2.1 - Analyse issues related to the provision of food for people with specific food needs,Health and Physical Education,,FTE7,Food Technology,Technology
A.S. 91300 v1,4.00 cr ,"Home Economics 2.2 - Analyse the relationship between well-being, food choices and determinants of health",Health and Physical Education,External,FTE7,Food Technology,Technology
A.S. 91301 v1,5.00 cr ,"Home Economics 2.3 - Analyse beliefs, attitudes and practices related to a nutritional issue for families in New Zealand",Health and Physical Education,,FTE7,Food Technology,Technology
A.S. 91302 v1,5.00 cr ,Home Economics 2.4 - Evaluate sustainable food related practices,Health and Physical Education,,FTE7,Food Technology,Technology
A.S. 91466 v1,5.00 cr ,Home Economics 3.1 - Investigate a nutritional issue affecting the well-being of New Zealand society,Health and Physical Education,,FTE8,Food Technology,Technology
A.S. 91467 v1,5.00 cr ,Home Economics 3.2 - Implement an action plan to address a nutritional issue affecting the well-being of New Zealand society,Health and Physical Education,,FTE8,Food Technology,Technology
A.S. 91468 v1,5.00 cr ,Home Economics 3.3 - Analyse a food related ethical dilemma for New Zealand society,Health and Physical Education,,FTE8,Food Technology,Technology
A.S. 91469 v1,5.00 cr ,Home Economics 3.4 - Investigate the influence of multinational food corporations on eating patterns in New Zealand,Health and Physical Education,,FTE8,Food Technology,Technology
A.S. 91471 v1,4.00 cr ,Home Economics 3.6 - Analyse the influences of food advertising on well-being,Health and Physical Education,External,FTE8,Food Technology,Technology
A.S. 91007 v2,4.00 cr ,Geography 1.1 - Demonstrate geographic understanding of environments that have been shaped by extreme natural event(s),Social Science Studies,External,GEO6,Geography,Social Science
A.S. 91009 v2,3.00 cr ,Geography 1.3 - Demonstrate geographic understanding of the sustainable use of an environment,Social Science Studies,,GEO6,Geography,Social Science
A.S. 91010 v1,4.00 cr ,Geography 1.4 - Apply concepts and basic geographic skills to demonstrate understanding of a given environment,Social Science Studies,External,GEO6,Geography,Social Science
A.S. 91011 v2,4.00 cr ,"Geography 1.5 - Conduct geographic research, with direction",Social Science Studies,,GEO6,Geography,Social Science
A.S. 91012 v1,3.00 cr ,Geography 1.6 - Describe aspects of a contemporary New Zealand geographic issue,Social Science Studies,,GEO6,Geography,Social Science
A.S. 91013 v1,3.00 cr ,Geography 1.7 - Describe aspects of a geographic topic at a global scale,Social Science Studies,,GEO6,Geography,Social Science
A.S. 91240 v1,4.00 cr ,Geography 2.1 - Demonstrate geographic understanding of a large natural environment,Social Science Studies,External,GEO7,Geography,Social Science
A.S. 91241 v1,3.00 cr ,Geography 2.2 - Demonstrate geographic understanding of an urban pattern,Social Science Studies,,GEO7,Geography,Social Science
A.S. 91243 v1,4.00 cr ,Geography 2.4 - Apply geography concepts and skills to demonstrate understanding of a given environment,Social Science Studies,External,GEO7,Geography,Social Science
A.S. 91244 v1,5.00 cr ,Geography 2.5 - Conduct geographic research with guidance,Social Science Studies,,GEO7,Geography,Social Science
A.S. 91245 v1,3.00 cr ,Geography 2.6 - Explain aspects of a contemporary New Zealand geographic issue,Social Science Studies,,GEO7,Geography,Social Science
A.S. 91246 v1,3.00 cr ,Geography 2.7 - Explain aspects of a geographic topic at a global scale,Social Science Studies,,GEO7,Geography,Social Science
A.S. 91426 v1,4.00 cr ,Geography 3.1 - Demonstrate understanding of how interacting natural processes shape a New Zealand geographic environment,Social Science Studies,External,GEO8,Geography,Social Science
A.S. 91428 v1,3.00 cr ,Geography 3.3 - Analyse a significant contemporary event from a geographic perspective,Social Science Studies,,GEO8,Geography,Social Science
