U.S. 12886 v6,6.00 cr ,Customise software features and create document templates for generic text and information management,Business Administration,,OTE8,DigiTech,19
U.S. 12887 v6,6.00 cr ,Integrate text and images and manage multiple files for generic text and information management,Business Administration,,OTE8,DigiTech,23
U.S. 2785 v8,5.00 cr ,Create a computer spreadsheet to provide a solution for organisation use,Computing,,OTE8,DigiTech,1
U.S. 2787 v7,6.00 cr ,Create and use a computer database to provide a solution for organisation use,Computing,,OTE8,DigiTech,1
U.S. 2789 v7,6.00 cr ,Produce desktop published documents for organisation use,Computing,,OTE8,DigiTech,2
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,9ENG,English,
A.S. 90851 v2,4.00 cr ,"English 1.3 - Show understanding of significant aspects of unfamiliar written text(s) through close reading, using supporting evidence",English,External,ECE,English,
A.S. 90855 v2,3.00 cr ,English 1.7 - Create a visual text,English,,ECE,English,
A.S. 90857 v2,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,ECE,English,
A.S. 91098 v3,4.00 cr ,"English 2.1 - Analyse specified aspect(s) of studied written text(s), supported by evidence",English,External,ECE,English,
A.S. 91101 v2,6.00 cr ,English 2.4 - Produce a selection of crafted and controlled writing,English,,ECE,English,
A.S. 91102 v2,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,ECE,English,13
A.S. 91103 v2,3.00 cr ,English 2.6 - Create a crafted and controlled visual and verbal text,English,,ECE,English,
A.S. 90052 v5,3.00 cr ,English 1.4 - Produce creative writing,English,,ENC6,English,52
A.S. 90053 v4,3.00 cr ,English 1.5 - Produce formal writing,English,,ENC6,English,55
A.S. 90849 v3,4.00 cr ,"English 1.1 - Show understanding of specified aspect(s) of studied written text(s), using supporting evidence",English,External,ENC6,English,1
A.S. 90850 v3,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,ENC6,English,143
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,ENC6,English,180
A.S. 90853 v1,4.00 cr ,English 1.9 - Use information literacy skills to form conclusion(s),English,,ENC6,English,30
A.S. 90854 v2,4.00 cr ,"English 1.10 - Form personal responses to independently read texts, supported by evidence",English,,ENC6,English,30
A.S. 90855 v2,3.00 cr ,English 1.7 - Create a visual text,English,,ENC6,English,172
A.S. 90856 v1,3.00 cr ,"English 1.11 - Show understanding of visual and/or oral text(s) through close viewing and/or listening, using supporting evidence",English,,ENC6,English,144
A.S. 90857 v1,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,ENC6,English,27
A.S. 90989 v1,3.00 cr ,Media Studies 1.1 - Demonstrate understanding of how individuals interact with the media,Social Science Studies,,ENC6,English,125
A.S. 90990 v1,3.00 cr ,Media Studies 1.2 - Demonstrate understanding of selected elements of media text(s),Social Science Studies,,ENC6,English,131
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENC6,English,50
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENC6,English,49
A.S. 91098 v3,4.00 cr ,"English 2.1 - Analyse specified aspect(s) of studied written text(s), supported by evidence",English,External,ENC7,English,84
A.S. 91099 v3,4.00 cr ,"English 2.2 - Analyse specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,ENC7,English,21
A.S. 91101 v1,6.00 cr ,English 2.4 - Produce a selection of crafted and controlled writing,English,,ENC7,English,10
A.S. 91104 v1,4.00 cr ,"English 2.7 - Analyse significant connections across texts, supported by evidence",English,,ENC7,English,61
A.S. 91105 v1,4.00 cr ,English 2.8 - Use information literacy skills to form developed conclusion(s),English,,ENC7,English,88
A.S. 91106 v1,4.00 cr ,"English 2.9 - Form developed personal responses to independently read texts, supported by evidence",English,,ENC7,English,96
A.S. 91107 v1,3.00 cr ,"English 2.10 - Analyse aspects of visual and/or oral text(s) through close viewing and/or listening, supported by evidence",English,,ENC7,English,101
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG3,English,
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG3,English,
A.S. 90855 v2,3.00 cr ,English 1.7 - Create a visual text,English,,ENG4,English,
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG4,English,
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG4,English,
A.S. 90855 v2,3.00 cr ,English 1.7 - Create a visual text,English,,ENG5,English,
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG5,English,
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG5,English,
A.S. 90052 v4,3.00 cr ,English 1.4 - Produce creative writing,English,,ENG6,English,113
A.S. 90849 v3,4.00 cr ,"English 1.1 - Show understanding of specified aspect(s) of studied written text(s), using supporting evidence",English,External,ENG6,English,73
A.S. 90850 v3,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,ENG6,English,103
A.S. 90851 v2,4.00 cr ,"English 1.3 - Show understanding of significant aspects of unfamiliar written text(s) through close reading, using supporting evidence",English,External,ENG6,English,100
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,ENG6,English,
A.S. 90853 v1,4.00 cr ,English 1.9 - Use information literacy skills to form conclusion(s),English,,ENG6,English,
A.S. 90854 v1,4.00 cr ,"English 1.10 - Form personal responses to independently read texts, supported by evidence",English,,ENG6,English,94
A.S. 90857 v1,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,ENG6,English,108
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG6,English,
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG6,English,
A.S. 90849 v3,4.00 cr ,"English 1.1 - Show understanding of specified aspect(s) of studied written text(s), using supporting evidence",English,External,ENG6J,English,26
A.S. 90850 v3,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,ENG6J,English,26
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,ENG6J,English,26
A.S. 90854 v1,4.00 cr ,"English 1.10 - Form personal responses to independently read texts, supported by evidence",English,,ENG6J,English,26
A.S. 90856 v1,3.00 cr ,"English 1.11 - Show understanding of visual and/or oral text(s) through close viewing and/or listening, using supporting evidence",English,,ENG6J,English,26
A.S. 90990 v1,3.00 cr ,Media Studies 1.2 - Demonstrate understanding of selected elements of media text(s),Social Science Studies,,ENG6J,English,26
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,ENG6J,English,
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,ENG6J,English,
A.S. 91098 v3,4.00 cr ,"English 2.1 - Analyse specified aspect(s) of studied written text(s), supported by evidence",English,External,ENG7,English,74
A.S. 91099 v3,4.00 cr ,"English 2.2 - Analyse specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,ENG7,English,87
A.S. 91100 v2,4.00 cr ,"English 2.3 - Analyse significant aspects of unfamiliar written text(s) through close reading, supported by evidence",English,External,ENG7,English,48
A.S. 91101 v1,6.00 cr ,English 2.4 - Produce a selection of crafted and controlled writing,English,,ENG7,English,102
A.S. 91102 v1,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,ENG7,English,88
A.S. 91106 v1,4.00 cr ,"English 2.9 - Form developed personal responses to independently read texts, supported by evidence",English,,ENG7,English,91
A.S. 91472 v1,4.00 cr ,"English 3.1 - Respond critically to specified aspect(s) of studied written text(s), supported by evidence",English,External,ENG8,English,18
A.S. 91473 v1,4.00 cr ,"English 3.2 - Respond critically to specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,ENG8,English,81
A.S. 91474 v1,4.00 cr ,"English 3.3 - Respond critically to significant aspects of unfamiliar written texts through close reading, supported by evidence",English,External,ENG8,English,67
A.S. 91475 v1,6.00 cr ,"English 3.4 - Produce a selection of fluent and coherent writing which develops, sustains, and structures ideas",English,,ENG8,English,96
A.S. 91476 v1,3.00 cr ,"English 3.5 - Create and deliver a fluent and coherent oral text which develops, sustains, and structures ideas",English,,ENG8,English,81
A.S. 91478 v1,4.00 cr ,"English 3.7 - Respond critically to significant connections across texts, supported by evidence",English,,ENG8,English,85
A.S. 91480 v1,3.00 cr ,"English 3.9 - Respond critically to significant aspects of visual and/or oral text(s) through close reading, supported by evidence",English,,ENG8,English,95
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,LFL5,English,44
A.S. 90855 v1,3.00 cr ,English 1.7 - Create a visual text,English,,LFL5,English,44
U.S. 10792 v3,3.00 cr ,Write formal personal correspondence,Communication Skills,,LFL5,English,42
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,LFL5,English,42
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,LFL5,English,40
U.S. 26625 v2,3.00 cr ,Actively participate in spoken interactions,Core Generic,,LFL5,English,44
U.S. 504 v6,2.00 cr ,Produce a CV (curriculum vitae),Core Generic,,LFL5,English,44
A.S. 90052 v4,3.00 cr ,English 1.4 - Produce creative writing,English,,MUSPROENG,English,13
A.S. 90053 v4,3.00 cr ,English 1.5 - Produce formal writing,English,,MUSPROENG,English,1
A.S. 90850 v3,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,MUSPROENG,English,
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,MUSPROENG,English,
A.S. 90853 v1,4.00 cr ,English 1.9 - Use information literacy skills to form conclusion(s),English,,MUSPROENG,English,15
A.S. 90854 v1,4.00 cr ,"English 1.10 - Form personal responses to independently read texts, supported by evidence",English,,MUSPROENG,English,13
A.S. 90855 v1,3.00 cr ,English 1.7 - Create a visual text,English,,MUSPROENG,English,
A.S. 90856 v1,3.00 cr ,"English 1.11 - Show understanding of visual and/or oral text(s) through close viewing and/or listening, using supporting evidence",English,,MUSPROENG,English,
A.S. 90857 v1,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,MUSPROENG,English,13
A.S. 90989 v1,3.00 cr ,Media Studies 1.1 - Demonstrate understanding of how individuals interact with the media,Social Science Studies,,MUSPROENG,English,
A.S. 91098 v3,4.00 cr ,"English 2.1 - Analyse specified aspect(s) of studied written text(s), supported by evidence",English,External,MUSPROENG,English,
A.S. 91101 v1,6.00 cr ,English 2.4 - Produce a selection of crafted and controlled writing,English,,MUSPROENG,English,8
A.S. 91102 v1,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,MUSPROENG,English,7
A.S. 91104 v1,4.00 cr ,"English 2.7 - Analyse significant connections across texts, supported by evidence",English,,MUSPROENG,English,
A.S. 91105 v1,4.00 cr ,English 2.8 - Use information literacy skills to form developed conclusion(s),English,,MUSPROENG,English,9
A.S. 91106 v1,4.00 cr ,"English 2.9 - Form developed personal responses to independently read texts, supported by evidence",English,,MUSPROENG,English,6
A.S. 91107 v1,3.00 cr ,"English 2.10 - Analyse aspects of visual and/or oral text(s) through close viewing and/or listening, supported by evidence",English,,MUSPROENG,English,
A.S. 90857 v2,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,HEP,He Puawai,9
A.S. 90930 v3,4.00 cr ,"Chemistry 1.1 - Carry out a practical chemistry investigation, with direction",Science,,HEP,He Puawai,1
A.S. 90956 v2,5.00 cr ,Home Economics 1.1 - Demonstrate knowledge of an individual's nutritional needs,Health and Physical Education,,HEP,He Puawai,6
A.S. 90957 v2,5.00 cr ,Home Economics 1.2 - Demonstrate understanding of societal influences on an individual's food choices and well-being,Health and Physical Education,,HEP,He Puawai,2
A.S. 90959 v2,5.00 cr ,Home Economics 1.4 - Demonstrate knowledge of practices and strategies to address food handling issues,Health and Physical Education,,HEP,He Puawai,13
A.S. 90971 v3,3.00 cr ,Health 1.1 - Take action to enhance an aspect of personal well-being,Health and Physical Education,,HEP,He Puawai,
A.S. 90977 v3,5.00 cr ,Accounting 1.2 - Process financial transactions for a small entity,Accounting,,HEP,He Puawai,1
A.S. 91026 v3,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,HEP,He Puawai,7
A.S. 91036 v3,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,HEP,He Puawai,11
A.S. 91102 v2,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,HEP,He Puawai,4
A.S. 91258 v2,2.00 cr ,Mathematics and Statistics 2.3 - Apply sequences and series in solving problems,Mathematics,,HEP,He Puawai,2
A.S. 91299 v2,5.00 cr ,Home Economics 2.1 - Analyse issues related to the provision of food for people with specific food needs,Health and Physical Education,,HEP,He Puawai,1
A.S. 91405 v1,4.00 cr ,Accounting 3.2 - Demonstrate understanding of accounting for partnerships,Accounting,,HEP,He Puawai,
U.S. 12352 v5,3.00 cr ,"Describe aspects of one's own lineage, heritage, and cultural identity",Core Generic,,HEP,He Puawai,26
U.S. 18211 v2,8.00 cr ,Demonstrate knowledge of Australia as a tourist destination,Tourism,,HEP,He Puawai,1
U.S. 18743 v4,2.00 cr ,Produce a spreadsheet from instructions using supplied data,Computing,,HEP,He Puawai,1
U.S. 18986 v5,2.00 cr ,Select and use scientific equipment,Science,,HEP,He Puawai,4
U.S. 24550 v1,6.00 cr ,Describe the operation of farm dairy equipment and perform calculations relevant to the farm dairy,Agriculture,,HEP,He Puawai,
U.S. 24725 v1,4.00 cr ,Describe and analyse the economic significance of tourism,Tourism,,HEP,He Puawai,3
U.S. 3492 v6,3.00 cr ,Write a short report,Communication Skills,,HEP,He Puawai,1
U.S. 504 v6,2.00 cr ,Produce a CV (curriculum vitae),Core Generic,,HEP,He Puawai,2
U.S. 526 v5,2.00 cr ,Describe community services,Core Generic,,HEP,He Puawai,1
A.S. 90908 v2,5.00 cr ,Spanish 1.1 - Demonstrate understanding of a variety of spoken Spanish texts on areas of most immediate relevance,Languages,External,SPN6,Languages,12
A.S. 90909 v1,4.00 cr ,Spanish 1.2 - Give a spoken presentation in Spanish that communicates a personal response,Languages,,SPN6,Languages,12
A.S. 90910 v2,5.00 cr ,"Spanish 1.3 - Interact using spoken Spanish to communicate personal information, ideas and opinions in different situations",Languages,,SPN6,Languages,10
A.S. 90911 v2,5.00 cr ,Spanish 1.4 - Demonstrate understanding of a variety of Spanish texts on areas of most immediate relevance,Languages,External,SPN6,Languages,16
A.S. 90912 v1,5.00 cr ,Spanish 1.5 - Write a variety of text types in Spanish on areas of most immediate relevance,Languages,,SPN6,Languages,13
A.S. 91148 v3,5.00 cr ,Spanish 2.1 - Demonstrate understanding of a variety of spoken Spanish texts on familiar matters,Languages,External,SPN7,Languages,8
A.S. 91149 v2,5.00 cr ,Spanish 2.3 - Interact using spoken Spanish to share information and justify ideas and opinions in different situations,Languages,,SPN7,Languages,11
A.S. 91150 v1,4.00 cr ,"Spanish 2.2 - Give a spoken presentation in Spanish that communicates information, ideas and opinions",Languages,,SPN7,Languages,14
A.S. 91151 v3,5.00 cr ,Spanish 2.4 - Demonstrate understanding of a variety of written and/or visual Spanish text(s) on familiar matters,Languages,External,SPN7,Languages,13
A.S. 91152 v1,5.00 cr ,"Spanish 2.5 - Write a variety of text types in Spanish to convey information, ideas, and opinions in genuine contexts",Languages,,SPN7,Languages,14
A.S. 91568 v2,5.00 cr ,Spanish 3.1 - Demonstrate understanding of a variety of extended spoken Spanish texts,Languages,External,SPN8,Languages,2
A.S. 91569 v1,3.00 cr ,Spanish 3.2 - Give a clear spoken presentation in Spanish that communicates a critical response to stimulus material,Languages,,SPN8,Languages,5
A.S. 91570 v1,6.00 cr ,Spanish 3.3 - Interact clearly using spoken Spanish to explore and justify varied ideas and perspectives in different situations,Languages,,SPN8,Languages,
A.S. 91571 v1,5.00 cr ,Spanish 3.4 - Demonstrate understanding of a variety of extended written and/or visual Spanish texts,Languages,External,SPN8,Languages,4
A.S. 91572 v1,5.00 cr ,Spanish 3.5 - Write a variety of text types in clear Spanish to explore and justify varied ideas and perspectives,Languages,,SPN8,Languages,4
A.S. 91085 v1,6.00 cr ,Te Reo Maori 1.1 - Whakarongo kia mohio ki te reo o tona ao,Reo Maori,,TER6,Maori,27
A.S. 91086 v1,6.00 cr ,Te Reo Maori 1.2 - Korero kia whakamahi i te reo o tona ao,Reo Maori,,TER6,Maori,27
A.S. 91087 v2,6.00 cr ,Te Reo Maori 1.3 - Panui kia mohio ki te reo o tona ao,Reo Maori,External,TER6,Maori,10
A.S. 91088 v2,6.00 cr ,Te Reo Maori 1.4 - Tuhi i te reo o tona ao,Reo Maori,External,TER6,Maori,28
A.S. 91089 v1,6.00 cr ,Te Reo Maori 1.5 - Waihanga tuhinga i te reo o tona ao,Reo Maori,,TER6,Maori,24
U.S. 16142 v4,2.00 cr ,Describe and explain the rituals associated with whakaeke in accordance with tikanga,Tikanga,,TER6,Maori,41
U.S. 27106 v1,2.00 cr ,Describe the terms connected with whakapapa and use terms within one's own whakapapa,Tikanga,,TER6,Maori,39
U.S. 27108 v1,2.00 cr ,Describe the protocols and roles associated with powhiri in accordance with tikanga,Tikanga,,TER6,Maori,41
U.S. 7257 v7,4.00 cr ,Tuhituhi korero mama tetahi ki tetahi atu,Reo Maori,,TER6,Maori,41
U.S. 7261 v7,4.00 cr ,Whakamaramatia nga whakawhitiwhitinga korero mama,Reo Maori,,TER6,Maori,40
U.S. 7265 v7,4.00 cr ,Panui i nga tuhinga korero mama mo te tangata,Reo Maori,,TER6,Maori,38
U.S. 7269 v7,4.00 cr ,Whakawhitiwhiti korero mama tetahi ki tetahi,Reo Maori,,TER6,Maori,39
A.S. 91284 v1,4.00 cr ,Te Reo Maori 2.1 - Whakarongo kia mohio ki te reo o te ao torotoro,Reo Maori,,TER7,Maori,9
A.S. 91285 v1,6.00 cr ,Te Reo Maori 2.2 - Korero kia whakamahi i te reo o te ao torotoro,Reo Maori,,TER7,Maori,
A.S. 91286 v2,6.00 cr ,Te Reo Maori 2.3 - Panui kia mohio ki te reo o te ao torotoro,Reo Maori,External,TER7,Maori,6
A.S. 91287 v2,6.00 cr ,Te Reo Maori 2.4 - Tuhi i te reo o te ao torotoro,Reo Maori,External,TER7,Maori,4
A.S. 91288 v1,6.00 cr ,"Te Reo Maori 2.5 - Waihanga tuhinga auaha, i te reo o te ao torotoro",Reo Maori,,TER7,Maori,9
U.S. 7258 v7,6.00 cr ,Tuhituhi korero mona ake me ana mahi,Reo Maori,,TER7,Maori,10
U.S. 7262 v7,7.00 cr ,Whakamaramatia nga korero me nga mahi a tetahi atu,Reo Maori,,TER7,Maori,9
U.S. 7270 v7,7.00 cr ,Korero mona ake me ana mahi,Reo Maori,,TER7,Maori,9
A.S. 91650 v1,4.00 cr ,Te Reo Maori 3.1 - Whakarongo kia mohio ki te reo Maori o te ao whanui,Reo Maori,,TER8,Maori,
A.S. 91651 v1,6.00 cr ,Te Reo Maori 3.2 - Korero kia whakamahi i te reo Maori o te ao whanui,Reo Maori,,TER8,Maori,2
A.S. 91652 v1,6.00 cr ,Te Reo Maori 3.3 - Panui kia mohio ki te reo Maori o te ao whanui,Reo Maori,External,TER8,Maori,4
A.S. 91653 v1,6.00 cr ,Te Reo Maori 3.4 - Tuhi i te reo Maori o te ao whanui,Reo Maori,External,TER8,Maori,3
A.S. 91654 v1,6.00 cr ,Te Reo Maori 3.5 - Waihanga tuhinga whai take i te reo Maori o te ao whanui,Reo Maori,,TER8,Maori,7
U.S. 16054 v3,2.00 cr ,Describe the life and achievements of a Maori leader,Tikanga,,TER8,Maori,
U.S. 7259 v8,7.00 cr ,Tuhituhi korero mo tetahi tangata me tona taiao,Reo Maori,,TER8,Maori,8
U.S. 7263 v8,9.00 cr ,Whakamaramatia nga whakamahinga korero a etahi atu,Reo Maori,,TER8,Maori,8
U.S. 7271 v8,9.00 cr ,Korero mo etahi atu me a ratou mahi,Reo Maori,,TER8,Maori,4
A.S. 91256 v2,2.00 cr ,Mathematics and Statistics 2.1 - Apply co-ordinate geometry methods in solving problems,Mathematics,,MAC7,Mathematics,43
A.S. 91257 v2,4.00 cr ,Mathematics and Statistics 2.2 - Apply graphical methods in solving problems,Mathematics,,MAC7,Mathematics,43
A.S. 91261 v2,4.00 cr ,Mathematics and Statistics 2.6 - Apply algebraic methods in solving problems,Mathematics,External,MAC7,Mathematics,41
A.S. 91262 v2,5.00 cr ,Mathematics and Statistics 2.7 - Apply calculus methods in solving problems,Mathematics,External,MAC7,Mathematics,42
A.S. 91267 v2,4.00 cr ,Mathematics and Statistics 2.12 - Apply probability methods in solving problems,Statistics and Probability,External,MAC7,Mathematics,42
A.S. 91269 v2,2.00 cr ,Mathematics and Statistics 2.14 - Apply systems of equations in solving problems,Mathematics,,MAC7,Mathematics,42
A.S. 91573 v1,3.00 cr ,Mathematics and Statistics 3.1 - Apply the geometry of conic sections in solving problems,Mathematics,,MAC8,Mathematics,
A.S. 91575 v1,4.00 cr ,Mathematics and Statistics 3.3 - Apply trigonometric methods in solving problems,Mathematics,,MAC8,Mathematics,15
A.S. 91577 v1,5.00 cr ,Mathematics and Statistics 3.5 - Apply the algebra of complex numbers in solving problems,Mathematics,External,MAC8,Mathematics,16
A.S. 91578 v1,6.00 cr ,Mathematics and Statistics 3.6 - Apply differentiation methods in solving problems,Mathematics,External,MAC8,Mathematics,16
A.S. 91579 v1,6.00 cr ,Mathematics and Statistics 3.7 - Apply integration methods in solving problems,Mathematics,External,MAC8,Mathematics,16
A.S. 91026 v3,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAI6,Mathematics,131
A.S. 91027 v3,4.00 cr ,Mathematics and Statistics 1.2 - Apply algebraic procedures in solving problems,Mathematics,External,MAI6,Mathematics,8
A.S. 91029 v3,3.00 cr ,Mathematics and Statistics 1.4 - Apply linear algebra in solving problems,Mathematics,,MAI6,Mathematics,104
A.S. 91032 v3,3.00 cr ,Mathematics and Statistics 1.7 - Apply right-angled triangles in solving measurement problems,Mathematics,,MAI6,Mathematics,99
A.S. 91034 v3,2.00 cr ,Mathematics and Statistics 1.9 - Apply transformation geometry in solving problems,Mathematics,,MAI6,Mathematics,103
A.S. 91035 v3,4.00 cr ,Mathematics and Statistics 1.10 - Investigate a given multivariate data set using the statistical enquiry cycle,Statistics and Probability,,MAI6,Mathematics,125
A.S. 91036 v3,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAI6,Mathematics,27
A.S. 91038 v3,3.00 cr ,Mathematics and Statistics 1.13 - Investigate a situation involving elements of chance,Statistics and Probability,,MAI6,Mathematics,109
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAI6,Mathematics,24
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAI6,Mathematics,23
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAI6,Mathematics,25
A.S. 91256 v2,2.00 cr ,Mathematics and Statistics 2.1 - Apply co-ordinate geometry methods in solving problems,Mathematics,,MAI7,Mathematics,58
A.S. 91258 v2,2.00 cr ,Mathematics and Statistics 2.3 - Apply sequences and series in solving problems,Mathematics,,MAI7,Mathematics,56
A.S. 91259 v2,3.00 cr ,Mathematics and Statistics 2.4 - Apply trigonometric relationships in solving problems,Mathematics,,MAI7,Mathematics,64
A.S. 91260 v2,2.00 cr ,Mathematics and Statistics 2.5 - Apply network methods in solving problems,Mathematics,,MAI7,Mathematics,61
A.S. 91268 v2,2.00 cr ,Mathematics and Statistics 2.13 - Investigate a situation involving elements of chance using a simulation,Statistics and Probability,,MAI7,Mathematics,59
A.S. 91269 v2,2.00 cr ,Mathematics and Statistics 2.14 - Apply systems of equations in solving problems,Mathematics,,MAI7,Mathematics,58
A.S. 91256 v2,2.00 cr ,Mathematics and Statistics 2.1 - Apply co-ordinate geometry methods in solving problems,Mathematics,,MAS7,Mathematics,56
A.S. 91258 v2,2.00 cr ,Mathematics and Statistics 2.3 - Apply sequences and series in solving problems,Mathematics,,MAS7,Mathematics,57
A.S. 91261 v2,4.00 cr ,Mathematics and Statistics 2.6 - Apply algebraic methods in solving problems,Mathematics,External,MAS7,Mathematics,3
A.S. 91264 v2,4.00 cr ,Mathematics and Statistics 2.9 - Use statistical methods to make an inference,Statistics and Probability,,MAS7,Mathematics,55
A.S. 91267 v2,4.00 cr ,Mathematics and Statistics 2.12 - Apply probability methods in solving problems,Statistics and Probability,External,MAS7,Mathematics,59
A.S. 91268 v2,2.00 cr ,Mathematics and Statistics 2.13 - Investigate a situation involving elements of chance using a simulation,Statistics and Probability,,MAS7,Mathematics,55
A.S. 91269 v2,2.00 cr ,Mathematics and Statistics 2.14 - Apply systems of equations in solving problems,Mathematics,,MAS7,Mathematics,60
A.S. 91574 v1,3.00 cr ,Mathematics and Statistics 3.2 - Apply linear programming methods in solving problems,Mathematics,,MAS8,Mathematics,31
A.S. 91580 v1,4.00 cr ,Mathematics and Statistics 3.8 - Investigate time series data,Statistics and Probability,,MAS8,Mathematics,34
A.S. 91581 v1,4.00 cr ,Mathematics and Statistics 3.9 - Investigate bivariate measurement data,Statistics and Probability,,MAS8,Mathematics,33
A.S. 91585 v1,4.00 cr ,Mathematics and Statistics 3.13 - Apply probability concepts in solving problems,Statistics and Probability,External,MAS8,Mathematics,
A.S. 91586 v1,4.00 cr ,Mathematics and Statistics 3.14 - Apply probability distributions in solving problems,Statistics and Probability,External,MAS8,Mathematics,28
A.S. 91587 v1,3.00 cr ,Mathematics and Statistics 3.15 - Apply systems of simultaneous equations in solving problems,Mathematics,,MAS8,Mathematics,38
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT3,Mathematics,21
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT3,Mathematics,2
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT3,Mathematics,
A.S. 91026 v1,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAT4,Mathematics,
A.S. 91030 v1,3.00 cr ,Mathematics and Statistics 1.5 - Apply measurement in solving problems,Mathematics,,MAT4,Mathematics,
A.S. 91036 v1,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAT4,Mathematics,
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT4,Mathematics,26
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT4,Mathematics,1
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT4,Mathematics,
A.S. 91026 v1,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAT5,Mathematics,
A.S. 91030 v1,3.00 cr ,Mathematics and Statistics 1.5 - Apply measurement in solving problems,Mathematics,,MAT5,Mathematics,
A.S. 91036 v1,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAT5,Mathematics,
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT5,Mathematics,
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT5,Mathematics,
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT5,Mathematics,
